145
név;helyszín;1. versenykor;1. versenykor ideje;2. versenykor;2. versenykor ideje;3. versenykor;3. versenykor ideje;
CSH Team;Szeged;38;34;27;37;36;36
P3VFGO;Miskolc;39;75;43;103;49;109
NextGen;Szeged;63;109;63;101;57;110
ROBOGO;Budapest;44;100;49;98;63;93
GearBot;Budapest;31;33;21;21;21;19
Keve Droids;Veszprém;31;32;39;22;39;26
Jackdaw;Miskolc;21;41;30;34;29;40
Jedlik Lego Robot Team;Miskolc;0;120;0;120;0;120
LEGO Masters Builders;Budapest;0;120;23;53;28;80
Jedlik Lego Robot Team Juniors;Veszprém;23;16;0;120;26;35
Jedlik Lego Robot Team GDP;Budapest;49;113;41;76;49;74
Andrássy ProgramozOOk;Miskolc;0;120;0;120;0;120
Techno Trio;Budapest;23;37;23;66;21;64
Ipari GÉP szak adás;Miskolc;26;29;26;24;30;43;  
Jedlik Lego Robot Team Elite;Veszprém;63;88;60;89;47;106
WMRobotX;Veszprém;31;120;25;68;34;98
Andrássy LEGOTT;Miskolc;33;53;33;56;33;69
Csirkefogók;Budapest;21;32;25;19;16;12
Zeusz Gyermekei;Budapest;24;21;24;38;31;49
Belvár Robotics;Szeged;31;43;33;69;31;69
Agóra Senior;Miskolc;35;51;57;101;57;103
Confessor;Miskolc;31;45;34;66;39;69;
LEGO LEGENDS;Veszprém;23;15;28;15;31;14 
